0_Angle,0_LCR,15_Angle,0_LCR,30_Angle,30_LCR,45_Angle,45_LCR,60_Angle,60_LCR,75_Angle,75_LCR
0,28.02039934,0,26.57619645,0,24.37897483,0,20.61800421,0,15.66624422,0,9.471434998
5.229438997,27.47738699,4.762307015,26.27284684,5.141682265,23.9518683,4.892175122,20.30504069,5.942497784,15.50470858,6.468604738,9.457377418
9.14920543,28.49712189,10.01560861,27.62780846,9.74855448,24.42086391,10.52923595,20.49614128,12.75016324,15.72451936,13.29168541,9.28868646
11.02148212,29.73459604,12.47809373,29.24567308,12.7654934,25.40548853,14.12541217,21.0688622,17.60834589,16.24393844,21.26983056,9.049707602
12.5330424,31.17005046,14,30.4,14.51742863,26.31819587,17.50411709,21.82455177,22.0120883,16.96223395,26.47300945,8.895074224
14.82749913,32.32472836,20.35804612,31.75336324,16.27121531,27.2869096,19.97576217,22.74985037,25.97126959,18.17701483,33.52382291,8.613922627
20.95647975,33.442602,28.73049554,33.02743163,17.559825,28.07290828,22.20856056,23.53481493,28.43211528,19.39332462,41.15052857,8.248425551
28.0275782,34.41015468,35.78961956,34.42283987,19.86534399,28.37041326,26.83772551,24.10649031,33.65817814,20.57846809,47.73369321,7.826698156
35.89130716,36.00027562,41.86374953,36.08115111,24.93415316,28.92411274,30.72922023,24.66094986,42.31277156,20.88142826,55.12376293,7.306567701
41.8186537,37.44539669,47.11705112,37.92147211,29.77986251,29.67348741,35.0026838,25.39855232,49.67460949,20.43457378,61.35783101,6.828609987
46.79345306,38.95171038,51.54952435,39.98424951,34.97688464,30.63340674,39.36951408,26.34269368,55.2934856,19.56432776,66.74625756,6.444369471
50.57235376,40.48995063,55.16116919,41.94591036,39.94988123,31.76099808,43.429568,27.46937344,60.21894047,18.63809997,72.51767506,5.975783476
53.38132502,41.94083622,58.44448269,44.19069752,42.96543156,32.70361792,46.69578968,28.6456677,64.91058912,17.61290441,78.3851527,5.495482831
57.94242688,44.01251639,62.38445888,45.1,46.44430744,33.77294642,48.68601747,29.61173895,68.68347813,16.68785271,84.05972909,5.015182186
61.06080216,46.05714764,66.48860076,44.47382383,49.69684346,34.93993894,51.14388558,30.61801275,72.22114963,15.62131767,88.86898336,4.616884091
63.6159926,47.38963884,68.95108588,42.97729906,51.68067289,35.92300141,54.99499382,31.59847086,76.67805119,14.46881063,94.92936222,4.136583446
66.1677066,48.49242058,71.413571,41.31898782,54.366665,37.31315159,61.65732234,30.89210269,80.89879437,13.14647654,101.7605651,3.632853501
69.8909841,47.7049138,73.71189045,39.31688035,57.40304416,38.88584325,65.17954954,29.91231686,85.35005071,11.82390723,108.1106863,3.164267506
71.64659114,46.30502204,75.84604422,37.45633603,59.8566792,40.19163672,67.8275394,28.77071242,89.57267563,10.55826056,114.3651378,2.719110811
74.0905352,44.63641493,78.14436367,35.31266541,64.43346534,39.75052859,70.60622116,27.596435,94.25068166,9.122081186,120.2380823,2.402815265
76.02691762,42.73101903,79.95018609,33.39145117,66.58531392,38.87172594,73.36607898,26.13744556,99.61740459,7.600165029,125.0488985,2.051375768
78.16493412,40.4983757,81.67392568,31.1129585,68.84797183,37.87268314,76.18482883,24.56450408,104.8749866,6.262600603,131.7906795,1.758509522
79.85796506,38.56371378,83.99960607,28.68616156,70.87031143,36.54845617,79.77267089,22.56775515,110.4792792,4.953027061,139.3966112,1.348496776
81.54751956,36.59934239,85.77806755,26.83235835,73.03150984,35.25804131,82.90793176,20.75857329,117.0046837,3.614168939,147.8721604,0.98534263
82.29265468,34.75613064,87.55652903,25.11337719,74.77779814,33.91659585,85.29628577,19.20640537,122.162063,2.7302215,156.4468936,0.704191033
84.04295048,33.10201284,88.92457632,23.39439603,76.89858864,32.56124908,87.68939059,17.72609334,128.3558107,1.81687187,161.2647386,0.563615235
85.22993269,31.38014959,90.83984252,21.84394244,78.57492296,31.18702908,90.55744122,15.89413228,133.5263622,1.329736387,168.7839819,0.446468736
86.56176696,29.70960865,92.48149927,20.12496127,80.62849037,29.6500357,93.37242628,14.2642484,139.7361048,0.898229847,175.5324012,0.352751537
87.47715155,28.03983755,93.98635129,18.30486358,82.0151498,28.19370579,95.92817886,12.73224898,147.3303376,0.507827569,179.3537606,0.317607587
88.42070181,26.61076804,95.49120331,16.53532415,83.68994125,26.77281381,98.28950708,11.27366291,155.3940646,0.372048255,0,9.471434998
89.23348285,25.25072703,96.8592506,14.7320792,85.17341613,25.35163253,101.4944165,9.513221597,164.2688216,0.362992381,,
90.72626386,23.76905216,98.63771208,12.72660118,86.94116583,23.84920921,105.7638571,7.216082995,173.3745623,0.367873144,,
91.67383779,22.37436859,100.2793688,10.88965073,88.32126805,22.19452336,108.7285301,5.760465729,179.8279901,0.332943343,,
92.3437786,20.98019826,102.741854,8.985289245,89.79934286,20.60999013,112.2779283,4.468261735,,,,
93.4482756,19.73999482,104.6571202,7.182044302,92.12561352,18.64171482,117.1462498,2.870141902,,,,
94.15241759,18.63810499,107.1196053,5.56417968,94.35776878,16.71996685,123.2618559,1.329332884,,,,
95.37762465,17.24290819,109.9925046,3.609259929,96.59300979,14.89156285,128.7598218,0.574030549,,,,
96.60283171,15.84771141,112.9110055,2.196437178,98.82477932,12.95814688,135.0624626,0.415360909,,,,
97.7938376,14.16023411,115.1910843,1.129095934,101.1518214,11.01320756,144.1543588,0.488161134,,,,
99.2685121,12.5238225,120.3212616,0.62351324,103.66478,8.90520557,153.3388042,0.514009087,,,,
100.7431866,10.88741089,125.337435,0.665645131,105.8532873,7.283477469,164.1430546,0.444500361,,,,
102.0830682,9.285641837,133.8877306,0.806084768,108.5554796,5.691461294,172.4635782,0.424364129,,,,
103.0427131,7.994116099,145.7441404,0.84821666,112.890096,3.480273718,179.4489147,0.46415255,,,,
104.4007013,6.547083786,158.3985779,0.960568369,117.2413755,1.773143597,1.239772343,20.61800421,,,,
106.0483935,5.202696077,170.7110035,0.960568369,125.4745916,0.827931726,4.892175122,20.30504069,,,,
108.7583342,3.443624165,178.6912794,0.960568369,143.800621,1.023653208,10.52923595,20.49614128,,,,
111.0840146,1.960409629,,,152.0677187,1.103358161,14.12541217,21.0688622,,,,
113.4398726,0.73508966,,,161.1579713,1.083501352,,,,,,
117.2905233,0.418431055,,,170.5248307,1.09766495,,,,,,
123.1288663,0.476425257,,,179.4784463,1.111203684,,,,,,
126.3276828,0.522102106,,,,,,,,,,
130.1,0.54,,,,,,,,,,
136.8978599,0.674529344,,,,,,,,,,
145.1,0.71,,,,,,,,,,
152.4654333,0.817718567,,,,,,,,,,
160.01,0.82,,,,,,,,,,
168.4333618,0.82,,,,,,,,,,
175.7906396,0.87,,,,,,,,,,
179.95,0.9,,,,,,,,,,
